plot,Spp,dist,azim,ht,crown w1,crown w2,crown area,herb cover,# planted
2.4.1,ABCO,1.9,15,1,6,5,30.25,,
2.4.1,ABCO,2.3,15,1,10,12,121,,
2.4.1,ABCO,2.6,358,1,14,12,169,,
2.4.1,ABCO,1.9,347,1,10,5,56.25,,
2.4.1,ABCO,1.7,347,1,6,5,30.25,,
2.4.1,ABCO,1.6,347,1,10,10,100,,
2.4.1,ABCO,1.5,347,1,13,11,144,,
2.4.1,ABCO,1.1,85,1,12,6,81,,
2.4.1,ABCO,1.1,85,1,10,6,64,,
2.4.1,ABCO,1,85,1,8,6,49,,
2.4.1,ABCO,3.3,62,1,8,5,42.25,,
2.4.1,ABCO,3,62,1,12,8,100,,
2.4.1,ABCO,2.8,62,1,5,10,56.25,,
2.4.1,QUKE,2.9,85,4,230,110,28900,,
2.4.1,ABCO,2.3,70,1,8,5,42.25,,
2.4.1,ABCO,1,65,1,8,6,49,,
2.4.1,ABCO,0.3,65,1,20,5,156.25,,
2.4.1,ABCO,0.7,68,1,5,6,30.25,,
2.4.1,ABCO,1,93,1,8,6,49,,
2.4.1,ABCO,1.1,95,1,5,6,30.25,,
2.4.1,ABCO,0.9,95,1,3,6,20.25,,
2.4.1,ABCO,0.8,95,1,5,8,42.25,,
2.4.1,PIPO,0.7,118,1,20,13,272.25,,
2.4.1,ABCO,0.9,120,1,3,5,16,,
2.4.1,CECO,1.7,120,2,110,115,12656.25,,
2.4.1,ABCO,1.8,140,1,5,5,25,,
2.4.1,ABCO,2.2,117,1,5,5,25,,
2.4.1,ABCO,2.4,117,1,6,6,36,,
2.4.1,ABCO,2.7,117,1,10,8,81,,
2.4.1,ABCO,3.6,110,1,7,5,36,,
2.4.1,CECO,4,122,2,120,80,10000,,
2.4.1,forb,,,,,,0,1,
2.4.1,gram,,,,,,0,0,
2.4.1,PIPO,,,,,,0,,1
2.4.2,CEIN,0.7,210,2,80,85,6806.25,,
2.4.2,CEIN,1,248,3,90,85,7656.25,,
2.4.2,CEIN,1.5,212,3,80,90,7225,,
2.4.2,CEIN,1.9,199,2,100,60,6400,,
2.4.2,CEIN,2.8,198,3,80,70,5625,,
2.4.2,CEIN,3,189,2,60,40,2500,,
2.4.2,CEIN,3.6,189,2,110,70,8100,,
2.4.2,CEIN,3.1,202,2,40,80,3600,,
2.4.2,CEIN,3.7,202,2,70,70,4900,,
2.4.2,CEIN,4.1,202,2,70,80,5625,,
2.4.2,CEIN,3.7,210,3,90,110,10000,,
2.4.2,CEIN,2.7,212,3,80,20,2500,,
2.4.2,CEIN,0.9,255,3,80,90,7225,,
2.4.2,CEIN,1.1,273,2,80,75,6006.25,,
2.4.2,CEIN,1.8,267,2,90,55,5256.25,,
2.4.2,CEIN,3.2,260,2,100,40,4900,,
2.4.2,PILA,3.9,275,1,15,15,225,,
2.4.2,CEIN,2.7,287,3,110,95,10506.25,,
2.4.2,CEIN,2.6,304,2,90,50,4900,,
2.4.2,CEIN,2.1,290,2,100,65,6806.25,,
2.4.2,CEIN,1.8,314,3,140,100,14400,,
2.4.2,CEIN,0.5,317,3,60,70,4225,,
2.4.2,CEIN,2.1,350,2,20,30,625,,
2.4.2,SAME,2.7,334,4,220,200,44100,,
2.4.2,CEIN,2.9,345,2,70,40,3025,,
2.4.2,CEIN,3.6,353,1,80,60,4900,,
2.4.2,PSME,4,357,2,3,3,9,,
2.4.2,CEPR,3.2,20,1,30,25,756.25,,
2.4.2,CEIN,4,37,1,50,60,3025,,
2.4.2,CEIN,4.1,44,2,50,50,2500,,
2.4.2,CEIN,2.7,40,2,45,30,1406.25,,
2.4.2,CEIN,1.8,35,3,85,90,7656.25,,
2.4.2,CEIN,1.4,45,3,100,80,8100,,
2.4.2,CEIN,2.2,75,3,150,120,18225,,
2.4.2,RIRO,1.6,72,2,50,45,2256.25,,
2.4.2,CEIN,1.4,105,2,50,70,3600,,
2.4.2,CEIN,1.3,145,3,85,70,6006.25,,
2.4.2,CEIN,2,142,3,100,75,7656.25,,
2.4.2,CEIN,1.8,174,1,70,60,4225,,
2.4.2,CEIN,3.7,171,3,90,75,6806.25,,
2.4.2,CEIN,3.8,174,2,60,115,7656.25,,
2.4.2,CEIN,3.5,79,4,140,155,21756.25,,
2.4.2,PSME,3.2,62,1,10,6,64,,
2.4.2,PILA,4.1,122,1,15,10,156.25,,
2.4.2,forb,,,,,,0,2,
2.4.2,gram,,,,,,0,2,
2.4.3,CEIN,0.6,310,1,25,25,625,,
2.4.3,CEIN,1.1,310,3,75,60,4556.25,,
2.4.3,CEIN,1.6,310,3,30,50,1600,,
2.4.3,CEIN,2.3,295,2,70,70,4900,,
2.4.3,CEIN,3,295,3,70,50,3600,,
2.4.3,CEIN,3.8,293,3,90,100,9025,,
2.4.3,CEIN,3.2,310,1,20,30,625,,
2.4.3,CEIN,3.7,312,3,70,70,4900,,
2.4.3,CEIN,4,313,2,40,60,2500,,
2.4.3,CEIN,3.9,321,3,90,100,9025,,
2.4.3,CEIN,3.4,330,3,100,95,9506.25,,
2.4.3,CEIN,2.8,337,2,75,60,4556.25,,
2.4.3,CEIN,1.7,335,2,125,80,10506.25,,
2.4.3,CEIN,2.3,356,3,130,80,11025,,
2.4.3,CEIN,3.8,347,3,150,80,13225,,
2.4.3,CEIN,0.7,357,2,90,65,6006.25,,
2.4.3,CEIN,1.6,20,3,110,70,8100,,
2.4.3,CEIN,1.1,66,3,140,160,22500,,
2.4.3,CEIN,2.6,17,2,70,50,3600,,
2.4.3,RIRO,2.2,38,2,25,10,306.25,,
2.4.3,RIRO,2.9,38,2,20,40,900,,
2.4.3,CEIN,2.7,55,3,100,55,6006.25,,
2.4.3,CEIN,4,25,3,80,150,13225,,
2.4.3,CEIN,3.7,42,3,50,105,6006.25,,
2.4.3,CEIN,2.1,108,2,100,60,6400,,
2.4.3,CEIN,3.4,73,2,110,75,8556.25,,
2.4.3,CEIN,4,85,2,110,100,11025,,
2.4.3,CEIN,3.7,99,1,100,100,10000,,
2.4.3,CEIN,4.1,123,3,80,100,8100,,
2.4.3,CEIN,2.9,132,2,130,110,14400,,
2.4.3,CEIN,3,141,3,90,90,8100,,
2.4.3,CEIN,3.5,158,2,70,65,4556.25,,
2.4.3,CEIN,2,156,3,140,100,14400,,
2.4.3,RIRO,1.3,180,2,40,30,1225,,
2.4.3,CEIN,1.4,160,2,150,90,14400,,
2.4.3,CEIN,2.4,180,3,160,75,13806.25,,
2.4.3,CEIN,3.5,190,3,150,130,19600,,
2.4.3,CEIN,2.9,203,3,90,95,8556.25,,
2.4.3,RULA,2.2,210,2,50,40,2025,,
2.4.3,CEIN,1.9,221,3,130,60,9025,,
2.4.3,CEIN,3.8,218,2,50,75,3906.25,,
2.4.3,CEIN,3.2,230,3,75,80,6006.25,,
2.4.3,CEIN,1.7,260,3,160,110,18225,,
2.4.3,CEIN,2.8,251,3,80,90,7225,,
2.4.3,CEIN,3.4,230,3,90,80,7225,,
2.4.3,RIRO,3.6,245,2,30,30,900,,
2.4.3,CEIN,3.8,251,3,80,60,4900,,
2.4.3,CEIN,4,257,3,60,90,5625,,
2.4.3,forb,,,,,,0,1,
2.4.3,gram,,,,,,0,3,
2.4.4,RIRO,1.6,172,2,80,70,5625,,
2.4.4,CECO,1.9,174,1,25,25,625,,
2.4.4,CECO,2,174,1,20,22,441,,
2.4.4,CEPR,0.9,212,1,20,25,506.25,,
2.4.4,CECO,0.9,220,1,25,30,756.25,,
2.4.4,ARPA,1.6,212,1,25,20,506.25,,
2.4.4,CECO,2.1,212,1,30,20,625,,
2.4.4,ARPA,2.1,212,1,40,25,1056.25,,
2.4.4,CECO,2.5,212,1,30,25,756.25,,
2.4.4,RIRO,2.6,212,3,30,25,756.25,,
2.4.4,RIRO,2.8,212,2,45,40,1806.25,,
2.4.4,CECO,3.6,213,2,55,45,2500,,
2.4.4,CECO,3.4,220,1,22,20,441,,
2.4.4,CECO,3.7,223,1,35,40,1406.25,,
2.4.4,ARPA,3.6,240,1,8,8,64,,
2.4.4,CECO,3.5,240,1,25,22,552.25,,
2.4.4,ARPA,3.2,240,1,35,40,1406.25,,
2.4.4,RIRO,2.3,235,1,10,15,156.25,,
2.4.4,ARPA,2.5,240,1,20,35,756.25,,
2.4.4,CECO,2.8,240,1,8,8,64,,
2.4.4,CEPR,3.3,242,1,15,15,225,,
2.4.4,ARPA,2.8,243,1,27,20,552.25,,
2.4.4,CECO,2.8,243,1,35,25,900,,
2.4.4,CEPR,2.4,243,1,12,11,132.25,,
2.4.4,CECO,2.1,243,1,25,27,676,,
2.4.4,CECO,1.8,243,1,15,20,306.25,,
2.4.4,CECO,1.5,248,1,15,15,225,,
2.4.4,CECO,1.2,235,1,12,20,256,,
2.4.4,RIRO,1.9,252,1,30,40,1225,,
2.4.4,SYMO,1.1,251,1,17,15,256,,
2.4.4,ARPA,1.2,253,1,15,14,210.25,,
2.4.4,RIRO,2.2,254,1,27,20,552.25,,
2.4.4,CECO,3,254,1,30,30,900,,
2.4.4,RIRO,3.6,250,1,25,30,756.25,,
2.4.4,ARPA,3.6,263,1,15,25,400,,
2.4.4,ARPA,3.5,263,1,22,23,506.25,,
2.4.4,ARPA,3.2,265,1,15,20,306.25,,
2.4.4,CECO,3,265,1,30,25,756.25,,
2.4.4,RIRO,3.7,270,1,15,17,256,,
2.4.4,RIRO,4,273,1,15,20,306.25,,
2.4.4,CECO,3.8,273,1,30,30,900,,
2.4.4,RIRO,3.2,273,1,22,22,484,,
2.4.4,CECO,2.5,273,1,22,17,380.25,,
2.4.4,RIRO,3.6,277,3,85,70,6006.25,,
2.4.4,RIRO,3.9,280,2,35,30,1056.25,,
2.4.4,RIRO,3.3,287,2,45,33,1521,,
2.4.4,RIRO,2.8,287,2,50,50,2500,,
2.4.4,RIRO,2.9,291,2,70,45,3306.25,,
2.4.4,CECO,2.7,296,1,20,27,552.25,,
2.4.4,CECO,3.2,298,1,8,12,100,,
2.4.4,CECO,2,295,1,15,17,256,,
2.4.4,CECO,1.2,308,1,27,24,650.25,,
2.4.4,CECO,2.7,308,1,35,40,1406.25,,
2.4.4,ARPA,2.2,319,1,30,27,812.25,,
2.4.4,ARPA,2.5,319,1,22,20,441,,
2.4.4,CECO,2.5,319,1,8,12,100,,
2.4.4,ARPA,2.1,320,1,20,30,625,,
2.4.4,ARPA,2,326,1,25,25,625,,
2.4.4,RIRO,1.9,326,2,30,27,812.25,,
2.4.4,ARPA,2.3,330,1,15,17,256,,
2.4.4,ARPA,2.4,330,1,17,22,380.25,,
2.4.4,ARPA,2.9,331,1,50,40,2025,,
2.4.4,CECO,2.9,325,1,12,15,182.25,,
2.4.4,CECO,3.7,325,1,15,17,256,,
2.4.4,CECO,3.6,330,1,33,30,992.25,,
2.4.4,CECO,3.8,330,1,22,22,484,,
2.4.4,ARPA,3.6,330,1,45,45,2025,,
2.4.4,QUKE,3.4,331,1,25,25,625,,
2.4.4,CECO,3.4,331,1,22,20,441,,
2.4.4,CECO,3.3,332,1,17,17,289,,
2.4.4,CECO,3.5,334,1,20,22,441,,
2.4.4,ARPA,2.8,333,1,25,30,756.25,,
2.4.4,CECO,2.8,333,1,15,17,256,,
2.4.4,CECO,2.3,333,1,32,27,870.25,,
2.4.4,RIRO,2,336,2,27,40,1122.25,,
2.4.4,ARPA,1.7,335,1,6,8,49,,
2.4.4,ARPA,3,337,1,30,30,900,,
2.4.4,CECO,2.9,337,1,15,15,225,,
2.4.4,CECO,3.6,337,1,8,12,100,,
2.4.4,CECO,3.7,337,1,15,12,182.25,,
2.4.4,ARPA,3.6,0,1,12,10,121,,
2.4.4,RIRO,3.3,0,1,25,22,552.25,,
2.4.4,RIRO,3.2,3,1,32,15,552.25,,
2.4.4,ARPA,2.9,0,1,20,22,441,,
2.4.4,CECO,2.6,0,1,32,25,812.25,,
2.4.4,CECO,2.1,26,1,37,45,1681,,
2.4.4,CECO,1.7,41,1,30,27,812.25,,
2.4.4,CECO,2.2,36,1,12,30,441,,
2.4.4,CECO,2,52,1,25,27,676,,
2.4.4,CECO,1.2,52,1,15,10,156.25,,
2.4.4,CECO,1.4,91,1,10,14,144,,
2.4.4,CECO,1.3,98,1,10,22,256,,
2.4.4,ARPA,3.7,105,1,15,16,240.25,,
2.4.4,RIRO,3.4,107,2,35,40,1406.25,,
2.4.4,CECO,4,127,1,35,33,1156,,
2.4.4,RIRO,4,115,2,45,45,2025,,
2.4.4,CECO,3.9,115,1,15,16,240.25,,
2.4.4,CECO,3.5,115,1,22,21,462.25,,
2.4.4,CECO,3.6,115,1,11,10,110.25,,
2.4.4,CECO,3.6,116,1,8,12,100,,
2.4.4,ARPA,3.4,116,1,17,20,342.25,,
2.4.4,RIRO,3.2,120,2,32,22,729,,
2.4.4,CECO,3.4,120,1,15,25,400,,
2.4.4,RIRO,3.6,120,1,12,10,121,,
2.4.4,RIRO,3.7,135,2,60,70,4225,,
2.4.4,CECO,2.5,103,1,35,27,961,,
2.4.4,CECO,1.5,107,1,20,25,506.25,,
2.4.4,CECO,1.3,135,1,10,10,100,,
2.4.4,forb,,,,,,0,1,
2.4.4,gram,,,,,,0,1,
2.4.5,ABCO,3.2,112,2,15,22,342.25,,
2.4.5,ABCO,3,113,1,12,17,210.25,,
2.4.5,ABCO,1.9,115,1,8,10,81,,
2.4.5,ABCO,1.9,133,1,8,15,132.25,,
2.4.5,ABCO,3.1,129,1,8,12,100,,
2.4.5,CECO,4.1,136,2,120,120,14400,,
2.4.5,ABCO,3.3,140,1,8,12,100,,
2.4.5,ABCO,3.3,168,1,10,14,144,,
2.4.5,ABCO,3.1,177,1,17,15,256,,
2.4.5,ARPA,4.1,178,1,25,20,506.25,,
2.4.5,ABCO,3.3,178,1,12,10,121,,
2.4.5,CECO,3.8,188,2,95,130,12656.25,,
2.4.5,ARPA,4,192,1,16,18,289,,
2.4.5,ARPA,4.1,199,1,12,12,144,,
2.4.5,ABCO,3.9,199,1,8,12,100,,
2.4.5,ARPA,4,208,1,12,10,121,,
2.4.5,ARPA,3.9,210,1,6,12,81,,
2.4.5,ARPA,4.1,212,1,20,25,506.25,,
2.4.5,CECO,4,214,1,50,65,3306.25,,
2.4.5,CECO,3.3,214,1,80,70,5625,,
2.4.5,ABCO,3.5,203,1,8,12,100,,
2.4.5,ABCO,3.3,206,1,8,12,100,,
2.4.5,ABCO,2.4,203,1,8,12,100,,
2.4.5,ABCO,0.4,171,1,10,12,121,,
2.4.5,CECO,1.3,214,2,70,65,4556.25,,
2.4.5,CECO,2.7,217,2,130,135,17556.25,,
2.4.5,CECO,3.9,221,2,120,130,15625,,
2.4.5,ARPA,3.8,231,1,8,15,132.25,,
2.4.5,CECO,3.7,240,2,115,115,13225,,
2.4.5,ARPA,3.8,240,1,15,20,306.25,,
2.4.5,CECO,3.4,237,2,45,40,1806.25,,
2.4.5,CECO,2.7,250,1,110,125,13806.25,,
2.4.5,ARPA,2.5,248,1,10,12,121,,
2.4.5,ARPA,2.1,250,1,25,20,506.25,,
2.4.5,ABCO,3,250,1,8,14,121,,
2.4.5,ARPA,3.6,250,1,15,25,400,,
2.4.5,CECO,1.6,243,1,55,40,2256.25,,
2.4.5,ARPA,1.8,260,1,15,15,225,,
2.4.5,ARPA,3.3,257,1,20,10,225,,
2.4.5,CECO,1.1,280,2,90,85,7656.25,,
2.4.5,ARPA,1.4,282,1,27,30,812.25,,
2.4.5,CECO,2.2,264,1,40,35,1406.25,,
2.4.5,ARPA,2.3,264,1,12,12,144,,
2.4.5,CECO,3.4,262,1,85,60,5256.25,,
2.4.5,CECO,2.7,264,1,110,65,7656.25,,
2.4.5,ARPA,2.8,264,1,20,27,552.25,,
2.4.5,CECO,2.3,280,1,90,50,4900,,
2.4.5,ARPA,2,278,1,12,15,182.25,,
2.4.5,ARPA,2.4,282,1,8,12,100,,
2.4.5,CECO,3.2,280,1,85,65,5625,,
2.4.5,ARPA,3.3,280,1,15,15,225,,
2.4.5,PIPO,4.1,285,2,55,55,3025,,
2.4.5,CECO,4,288,1,60,45,2756.25,,
2.4.5,ABCO,3.6,285,1,8,12,100,,
2.4.5,ARPA,2.6,288,1,25,15,400,,
2.4.5,ABCO,0.9,299,1,8,12,100,,
2.4.5,ARPA,2.6,299,1,20,25,506.25,,
2.4.5,ABCO,3.1,304,1,10,12,121,,
2.4.5,ABCO,2.1,325,1,10,14,144,,
2.4.5,ABCO,0.9,328,1,8,10,81,,
2.4.5,ABCO,1.2,7,1,8,14,121,,
2.4.5,ABCO,2.8,351,1,8,10,81,,
2.4.5,ABCO,3.3,359,1,8,10,81,,
2.4.5,RIRO,3.3,9,2,30,55,1806.25,,
2.4.5,forb,,,,,,0,1,
2.4.5,gram,,,,,,0,0,
2.4.6,CEPR,1.7,230,4,40,50,2025,,
2.4.6,CEIN,2.4,270,4,330,320,105625,,
2.4.6,CEIN,3.3,301,4,200,150,30625,,
2.4.6,CEIN,2.9,321,4,200,200,40000,,
2.4.6,CEIN,4,313,4,90,95,8556.25,,
2.4.6,CEIN,3.6,355,4,300,20,25600,,
2.4.6,CEIN,4,13,4,120,140,16900,,
2.4.6,CEIN,3.1,15,4,110,120,13225,,
2.4.6,CEIN,2.8,62,4,200,260,52900,,
2.4.6,CEIN,1.6,49,3,90,110,10000,,
2.4.6,CEIN,2,108,4,150,180,27225,,
2.4.6,CEIN,3.3,102,4,140,160,22500,,
2.4.6,CEIN,1.4,168,4,130,130,16900,,
2.4.6,CEIN,1.6,196,4,100,115,11556.25,,
2.4.6,CEIN,3.7,161,4,155,160,24806.25,,
2.4.6,CEIN,4.1,179,2,50,35,1806.25,,
2.4.6,CEIN,4,196,4,200,140,28900,,
2.4.6,forb,,,,,,0,1,
2.4.6,gram,,,,,,0,1,
3.1.1,PIPO,2.4,105,1,6,6,36,,
3.1.1,forb,,,,,,0,1,
3.1.1,gram,,,,,,0,1,
3.1.2,CEIN,1.5,253,4,130,130,16900,,
3.1.2,CEIN,3.1,255,4,250,180,46225,,
3.1.2,ARPA,3.4,276,4,180,190,34225,,
3.1.2,QUKE,1.3,276,2,40,25,1056.25,,
3.1.2,CEIN,2.7,282,4,150,90,14400,,
3.1.2,CEIN,2.9,352,4,280,340,96100,,
3.1.2,CEIN,0.8,343,1,10,12,121,,
3.1.2,CEIN,3.3,76,4,200,230,46225,,
3.1.2,RIRO,4.1,80,1,60,40,2500,,
3.1.2,PILA,2.4,121,2,15,13,196,,
3.1.2,CEIN,3.3,152,4,200,220,44100,,
3.1.2,CEIN,4,196,4,150,170,25600,,
3.1.2,CEIN,2.3,205,1,7,10,72.25,,
3.1.2,PIPO,,,,,,0,,1
3.1.2,gram,,,,,,0,1,
3.1.2,forb,,,,,,0,2,
3.1.3,RIRO,2,290,3,80,45,3906.25,,
3.1.3,RIRO,2.1,2,3,190,140,27225,,
3.1.3,RIRO,3.3,2,2,60,30,2025,,
3.1.3,RIRO,0.6,80,1,5,3,16,,
3.1.3,QUKE,1.3,130,4,90,120,11025,,
3.1.3,ABCO,1.3,196,5,130,90,12100,,
3.1.3,ABCO,0.6,234,4,80,70,5625,,
3.1.3,ABCO,1.4,200,4,75,90,6806.25,,
3.1.3,ABCO,1.1,230,5,120,100,12100,,
3.1.3,RIRO,1.6,200,2,30,20,625,,
3.1.3,RIRO,1.2,258,2,40,20,900,,
3.1.3,RIRO,0.4,258,2,35,20,756.25,,
3.1.3,gram,,,,,,0,1,
3.1.3,forb,,,,,,0,3,
3.1.4,TODI,2.9,329,4,200,220,44100,,
3.1.4,TODI,3.1,4,2,22,18,400,,
3.1.4,RHPU,3.1,28,4,145,240,37056.25,,
3.1.4,CEIN,3.3,46,4,85,95,8100,,
3.1.4,TODI,3.5,92,2,110,50,6400,,
3.1.4,CEIN,3.9,108,4,160,145,23256.25,,
3.1.4,CEIN,3,150,4,290,190,57600,,
3.1.4,RHPU,4.1,119,4,270,175,49506.25,,
3.1.4,TODI,2.5,184,3,150,45,9506.25,,
3.1.4,RHPU,2.7,207,4,180,200,36100,,
3.1.4,CEIN,3.9,217,4,370,370,136900,,
3.1.4,TODI,2.1,287,3,55,65,3600,,
3.1.4,CEIN,4,305,4,370,350,129600,,
3.1.4,forb,,,,,,0,4,
3.1.4,gram,,,,,,0,6,
3.1.5,ARPA,1.6,343,4,250,230,57600,,
3.1.5,CECO,2.3,35,4,240,220,52900,,
3.1.5,ABCO,2.7,35,4,40,40,1600,,
3.1.5,ARPA,3.9,72,4,400,480,193600,,
3.1.5,ABCO,0.3,60,3,40,40,1600,,
3.1.5,ABCO,0.7,60,3,35,35,1225,,
3.1.5,ABCO,0.7,60,3,45,40,1806.25,,
3.1.5,ABCO,0.9,60,3,35,40,1406.25,,
3.1.5,ABCO,1.1,92,3,60,45,2756.25,,
3.1.5,ABCO,1.7,120,2,35,35,1225,,
3.1.5,ABCO,2.2,120,4,60,65,3906.25,,
3.1.5,ABCO,2.3,120,3,30,30,900,,
3.1.5,ABCO,2.5,120,3,45,55,2500,,
3.1.5,PILA,3.3,123,2,40,25,1056.25,,
3.1.5,RIRO,3.9,143,1,25,30,756.25,,
3.1.5,forb,,,,,,0,0,
3.1.5,gram,,,,,,0,1,
3.1.6,CECO,3.9,109,4,140,140,19600,,
3.1.6,ARPA,3.8,149,4,180,220,40000,,
3.1.6,CECO,3.8,149,3,170,160,27225,,
3.1.6,ARPA,3.3,174,4,175,250,45156.25,,
3.1.6,CECO,2.5,166,3,95,85,8100,,
3.1.6,CECO,1.9,235,3,120,150,18225,,
3.1.6,CECO,2.8,184,2,90,50,4900,,
3.1.6,CECO,3.4,283,3,150,220,34225,,
3.1.6,ABCO,2.3,344,1,14,10,144,,
3.1.6,forb,,,,,,0,0,
3.1.6,gram,,,,,,0,0,
3.2.1,CEIN,2.5,115,3,60,35,2256.25,,
3.2.1,CEIN,1.3,118,3,50,45,2256.25,,
3.2.1,CEIN,4.1,126,4,160,130,21025,,
3.2.1,CEIN,3.4,121,3,50,60,3025,,
3.2.1,CEIN,3.3,132,3,30,30,900,,
3.2.1,CEIN,3.1,135,1,20,18,361,,
3.2.1,CEIN,2.5,140,1,10,10,100,,
3.2.1,CEIN,3.9,16,2,11,11,121,,
3.2.1,CEIN,3.9,171,1,10,10,100,,
3.2.1,CEIN,3.6,171,2,10,20,225,,
3.2.1,CEIN,3.4,171,1,10,8,81,,
3.2.1,CEIN,3.3,164,2,10,20,225,,
3.2.1,CEIN,2.5,170,1,8,8,64,,
3.2.1,CEIN,1.3,170,1,8,9,72.25,,
3.2.1,CEIN,4.1,177,2,5,30,306.25,,
3.2.1,CEIN,3.9,177,2,40,44,1764,,
3.2.1,CEIN,3.9,180,1,17,25,441,,
3.2.1,CEIN,3.8,181,2,5,25,225,,
3.2.1,CEIN,3.7,170,2,12,19,240.25,,
3.2.1,CEIN,3.5,170,1,4,4,16,,
3.2.1,CEIN,3.7,178,1,2,2,4,,
3.2.1,CEIN,3.8,179,1,4,2,9,,
3.2.1,CEIN,3.9,182,1,2,2,4,,
3.2.1,CEIN,3.3,180,1,3,1,4,,
3.2.1,CEIN,3.3,180,1,4,3,12.25,,
3.2.1,CEIN,3.3,180,1,4,4,16,,
3.2.1,CEIN,3.4,180,1,8,10,81,,
3.2.1,CEIN,3,178,1,5,4,20.25,,
3.2.1,CEIN,3.3,182,1,10,15,156.25,,
3.2.1,CEIN,4.1,186,1,4,12,64,,
3.2.1,CEIN,4.1,190,1,8,12,100,,
3.2.1,CEIN,3.8,198,3,80,90,7225,,
3.2.1,CEIN,3.1,191,1,18,12,225,,
3.2.1,CEIN,3,194,1,5,4,20.25,,
3.2.1,QUKE,3.2,205,1,18,20,361,,
3.2.1,CEIN,2.8,210,1,6,4,25,,
3.2.1,CEIN,2.5,212,3,100,75,7656.25,,
3.2.1,PILA,3.1,215,1,6,6,36,,
3.2.1,CEIN,2,212,1,3,6,20.25,,
3.2.1,CEIN,2.9,230,1,7,8,56.25,,
3.2.1,CEIN,1.5,230,1,4,4,16,,
3.2.1,CEIN,1.9,245,1,4,8,36,,
3.2.1,CEIN,3.8,318,1,6,6,36,,
3.2.1,CEIN,3.6,323,1,4,4,16,,
3.2.1,CEIN,3.7,360,3,60,60,3600,,
3.2.1,gram,,,,,,0,1,
3.2.1,forb,,,,,,0,1,
3.2.2,CEIN,3.5,70,1,15,8,132.25,,
3.2.2,RIRO,3.8,68,1,8,4,36,,
3.2.2,RIRO,4,70,1,9,5,49,,
3.2.2,CEIN,1.5,70,1,10,35,506.25,,
3.2.2,CEIN,1.1,70,1,20,38,841,,
3.2.2,CEIN,0.8,67,2,30,20,625,,
3.2.2,CEIN,1.4,90,1,12,38,625,,
3.2.2,CEIN,1.6,90,1,20,30,625,,
3.2.2,CEIN,1.9,100,1,4,4,16,,
3.2.2,CEIN,2,115,1,20,8,196,,
3.2.2,CEIN,1.9,125,2,40,14,729,,
3.2.2,RIRO,1.3,130,2,15,15,225,,
3.2.2,CEIN,1.5,130,1,8,5,42.25,,
3.2.2,CEIN,2.9,125,1,38,40,1521,,
3.2.2,CEIN,2.6,125,2,30,30,900,,
3.2.2,CEIN,2.7,127,1,8,8,64,,
3.2.2,CEIN,2.5,127,1,25,30,756.25,,
3.2.2,CEIN,2.4,129,1,20,30,625,,
3.2.2,CEIN,1.8,132,2,40,43,1722.25,,
3.2.2,CEIN,1.9,135,2,60,38,2401,,
3.2.2,CEIN,2.4,135,1,30,12,441,,
3.2.2,CEIN,2.2,150,2,20,30,625,,
3.2.2,CEIN,2.3,148,1,18,17,306.25,,
3.2.2,CEIN,2.5,150,1,32,33,1056.25,,
3.2.2,CEIN,3,143,1,45,25,1225,,
3.2.2,CEIN,2.6,155,1,30,15,506.25,,
3.2.2,CEIN,2.2,158,1,12,40,676,,
3.2.2,CEIN,3.4,155,2,50,40,2025,,
3.2.2,CEIN,3.6,158,2,20,12,256,,
3.2.2,CEIN,3.6,160,1,5,15,100,,
3.2.2,CEIN,4.1,145,1,20,14,289,,
3.2.2,CEIN,3.9,145,1,4,18,121,,
3.2.2,CEIN,3.6,145,1,4,22,169,,
3.2.2,CEIN,4,140,1,6,10,64,,
3.2.2,CEIN,3.5,168,2,20,30,625,,
3.2.2,CEIN,3.7,168,1,6,12,81,,
3.2.2,CEIN,3.5,170,2,30,20,625,,
3.2.2,CEIN,3.5,172,1,60,40,2500,,
3.2.2,CEIN,4,190,1,8,10,81,,
3.2.2,CEIN,3.5,195,1,12,30,441,,
3.2.2,CEIN,2.9,195,1,6,12,81,,
3.2.2,CEIN,2.9,196,1,6,18,144,,
3.2.2,CEIN,3.7,200,1,6,22,196,,
3.2.2,CEIN,2.9,204,1,6,50,784,,
3.2.2,PILA,1.7,189,1,5,3,16,,
3.2.2,CEIN,1.7,189,1,3,3,9,,
3.2.2,CEIN,3.9,223,1,15,40,756.25,,
3.2.2,CEIN,3.2,223,1,40,20,900,,
3.2.2,CEIN,4.1,230,1,35,40,1406.25,,
3.2.2,CEIN,3.7,232,1,40,25,1056.25,,
3.2.2,CEIN,3.4,233,1,30,16,529,,
3.2.2,CEIN,3,243,2,45,60,2756.25,,
3.2.2,CEIN,2.2,245,1,60,40,2500,,
3.2.2,CEIN,2,245,1,30,20,625,,
3.2.2,CEIN,2.4,245,1,6,12,81,,
3.2.2,CEIN,2.5,245,1,4,4,16,,
3.2.2,CEIN,2.2,248,1,25,40,1056.25,,
3.2.2,CEIN,3.7,255,1,40,25,1056.25,,
3.2.2,CEIN,3.1,257,2,40,25,1056.25,,
3.2.2,CEIN,3.4,260,1,40,15,756.25,,
3.2.2,CEIN,3.1,262,2,35,55,2025,,
3.2.2,RIRO,3.6,260,1,4,6,25,,
3.2.2,RIRO,2.9,282,1,8,2,25,,
3.2.2,CEIN,2.7,282,1,4,4,16,,
